LATITUDE,LONGITUDE,FIRE_SIZE
30.9583,-92.7983,3.0
30.9436,-92.7811,3.0
30.9436,-92.7983,20.0
30.9286,-92.7528,2.0
31.0181,-92.7314,5.0
30.9583,-92.7983,1.0
30.9436,-92.7528,2.0
30.9436,-92.7294,40.0
30.9583,-92.7983,5.0
30.9436,-92.7294,1.0
31.0328,-92.7317,60.0
30.9289,-92.7639,2.0
30.9731,-92.7811,1.0
30.9436,-92.7983,2.0
30.9733,-92.8153,2.0
30.9881,-92.7983,5.0
30.9292,-92.8683,13.0
31.0061,-92.9017,0.1
30.9292,-92.9028,1.0
30.9292,-92.8683,1.0
30.9439,-92.8331,1.0
30.9439,-92.8508,2.0
30.9439,-92.8508,1.0
30.9736,-92.8331,40.0
30.9292,-92.8683,2.0
30.9742,-92.8856,1.0
30.9292,-92.9028,3.0
30.9292,-92.8856,2.0
30.9439,-92.8331,2.0
30.9439,-92.8508,1.0
30.9292,-92.8683,0.1
30.9292,-92.9028,3.0
30.9586,-92.8156,1.0
30.9436,-92.7983,2.0
30.9286,-92.7294,2.0
31.0328,-92.7317,2.0
30.9289,-92.7639,1.0
30.9731,-92.7442,1.0
30.9286,-92.7528,2.0
30.9289,-92.7639,1.0
30.9881,-92.7528,1.0
30.9583,-92.7442,40.0
30.9286,-92.7528,1.0
30.9583,-92.7642,2.0
30.9881,-92.7528,1.0
31.0478,-92.8019,3.0
30.9289,-92.7639,1.0
30.9583,-92.7442,1.0
30.9731,-92.7442,2.0
30.9881,-92.8153,10.0
30.9733,-92.7294,45.0
30.9881,-92.7528,2.0
30.9583,-92.7642,1.0
30.9289,-92.7639,1.0
30.9286,-92.7528,2.0
31.0056,-92.8153,60.0
31.0333,-92.8192,5.0
31.0183,-92.8192,3.0
31.0183,-92.8192,15.0
31.0333,-92.8192,35.0
30.9731,-92.7442,5.0
30.9436,-92.7294,0.1
31.0056,-92.8153,5.0
30.9286,-92.7294,2.0
30.9286,-92.7294,1.0
30.9289,-92.7639,1.0
30.9286,-92.7294,3.0
30.9731,-92.7811,3.0
30.9436,-92.7528,5.0
30.9731,-92.7811,20.0
30.9878,-92.7811,2.0
30.9878,-92.7811,1.0
30.9731,-92.7811,60.0
30.9436,-92.7528,2.0
31.0056,-92.8153,60.0
30.9731,-92.7811,1.0
30.9733,-92.7981,10.0
30.9289,-92.7983,2.0
30.9881,-92.7528,1.0
30.9881,-92.7528,2.0
30.9878,-92.7639,3.0
