fire_name,grid_row,grid_col,fire_lat,fire_lon,min_dist_to_camera_m,min_dist_to_camera_km,detected
DILLON_2022-CALAC-087856,1014,375,34.346823,-118.346937,4639.5,4.639,1
DILLON__2022-CAANF-000675,1015,375,34.33805,-118.344829,5516.7,5.517,1
DITCH_CAMP_RD___WENTWORTH_SPRINGS_RD_2022-CAENF-014950,467,281,38.919546,-120.689017,12255.8,12.256,1
DIVIDE__2022-CAANF-002093,1012,372,34.358526,-118.383255,3098.2,3.098,1
DODGE_2022-CASTF-001595,563,323,38.178591,-119.963907,6319.3,6.319,1
DOGTOWN__2022-CASTF-000276,610,301,37.722863,-120.09008,3877.7,3.878,1
DOLLAR_2022-CABDF-011536,1067,504,34.121411,-116.860279,9839.7,9.84,1
DOME__2022-CASNF-001416,654,342,37.427165,-119.52448,17407.7,17.408,1
DOUBLE_2022-CAMDF-000591,146,321,41.784469,-121.141474,21557.3,21.557,1
DOUGLAS_2022-CAMMU-023741,670,341,37.2857,-119.496554,4920.8,4.921,1
DOUGLAS_2022-CASNF-001550,670,341,37.2857,-119.496554,4920.8,4.921,1
DRIP_2022-CACNF-000888,1137,481,33.46303,-116.971218,15156.0,15.156,1
DRY_2022-CASQF-001908,879,400,35.579069,-118.367118,11913.6,11.914,1
DUCK_2022-CALNF-002812,274,278,40.581146,-121.26488,9750.2,9.75,1
DUCK__2022-CASNF-001450,714,386,36.994416,-118.89347,25159.5,25.16,1
DUMPSTER__2022-CAANF-000486,979,347,34.598597,-118.721673,1631.4,1.631,1
DUMP_2022-CALNF-003654,294,245,40.332056,-121.587161,4315.4,4.315,1
DUMP_2022-CASHF-001069,201,107,40.79352,-123.4646,24307.3,24.307,1
DUNCAN_2022-CAMDF-000522,180,328,41.507113,-120.958089,16021.1,16.021,1
DUNCAN_2022-CATNF-001215,446,302,39.148091,-120.507829,491.4,0.491,1
DUNES_2022-CAINF-001495,604,421,38.02545,-118.763938,39998.7,39.999,1
DUSEN_2022-CABDF-010770,1046,507,34.311876,-116.868717,5036.5,5.037,1
DUSY__2022-CASNF-000635,693,384,37.173711,-118.96492,24752.2,24.752,1
DUTCH_2022-CASQF-001849,869,392,35.650958,-118.475989,6328.0,6.328,1
Deer__2022-CASRF-000712,146,115,41.283755,-123.551244,15486.1,15.486,1
Delleker_2_2022-CAPNF-002299,374,320,39.811641,-120.498578,3033.8,3.034,1
Devils_2022-CAPNF-001415,345,299,40.015683,-120.819919,9669.9,9.67,1
Diamond_2022-CAPNF-000316,331,305,40.150264,-120.790304,14576.0,14.576,1
Dog_2022-CASHF-001049,212,182,40.886488,-122.562693,10297.4,10.297,1
Dollar_2022-CASRF-000925,139,126,41.371614,-123.44633,28522.3,28.522,1
Duzen_2022-CASRF-000830,239,92,40.430599,-123.514971,13280.7,13.281,1
E-10_CAL_2022-CALNF-005001,267,287,40.662266,-121.181113,18215.5,18.215,1
E-11_GRAYS_2022-CALNF-005008,271,285,40.623147,-121.192635,15970.0,15.97,1
E-1_CHAMPS_2022-CALNF-004966,273,304,40.649313,-120.966882,7976.2,7.976,1
E-1_REST_2022-CALNF-004478,277,292,40.587399,-121.094252,15411.5,15.411,1
E-2_SPRINGS_2022-CALNF-004968,273,281,40.596686,-121.233096,12287.6,12.288,1
E-5_FLAT_2022-CALNF-004972,268,312,40.710672,-120.88855,13333.2,13.333,1
E-6_POISON_2022-CALNF-004973,268,285,40.649039,-121.201359,16086.5,16.086,1
E-7_LOGAN_2022-CALNF-004988,275,307,40.63885,-120.926387,5375.3,5.375,1
E-9_SHAYS_2022-CALNF-004999,264,312,40.745234,-120.900049,10321.8,10.322,1
EAGLE_2022-CALMU-003399,288,316,40.546848,-120.78505,11767.2,11.767,1
EAST_2022-CAANF-002810,1035,417,34.243025,-117.854093,4798.2,4.798,1
EAST_2022-CAKNF-006328,104,163,41.764446,-123.129087,28248.9,28.249,1
EAST_2022-CASNF-001326,691,378,37.178956,-119.03612,18479.5,18.48,1
EDDY_2022-CAKNF-006258,160,150,41.252739,-123.098835,42372.5,42.372,1
ELIZA_2022-CAKNF-007844,111,197,41.78933,-122.707759,13504.1,13.504,1
ELK_2022-CAKNF-009321,97,144,41.776206,-123.374679,41768.7,41.769,1
ELK_MTN_IHC_STAFFING_2022-CAMNF-000331,390,104,39.167615,-122.90929,9567.5,9.567,1
EL_CARISO__001_2022-CACNF-000956,1109,445,33.644341,-117.407433,7629.1,7.629,1
EMERALD_2_2022-CABDF-003570,1066,484,34.094264,-117.075994,5856.4,5.856,1
EMMA_2022-CAANF-002243,1009,399,34.43708,-118.100458,5328.1,5.328,1
ENTRANCE_2022-CALNF-003808,291,250,40.369592,-121.538376,1719.4,1.719,1
EVANS_2022-CAKNF-006209,94,154,41.827217,-123.26744,41554.6,41.555,1
EVANS_2022-CASQF-001261,874,380,35.583492,-118.595346,13215.8,13.216,1
EVERILL_2022-CAKNF-006625,101,174,41.817725,-123.009962,27314.6,27.315,1
EXCELSIOR_2022-CANEU-029246,425,285,39.292111,-120.757975,5165.0,5.165,1
E_INDIAN_CREEK_DR__E_FORK_INDIAN_CREEK_RD_2022-CAKNF-002959,85,144,41.878701,-123.414509,38249.6,38.25,1
Eagle__2022-CAPNF-001326,376,309,39.769873,-120.61902,3431.4,3.431,1
Erin__2022-CASRF-000859,182,99,40.935407,-123.618701,11631.5,11.631,1
FALSE_ALARM_2022-CAANF-000915,971,345,34.664689,-118.760495,9325.7,9.326,1
FA_BC22_2022-CACNF-002548,1087,434,33.817647,-117.567847,5490.6,5.491,1
FERN_2022-CACNF-001755,1153,487,33.332629,-116.877323,3149.0,3.149,1
FERRETTI_2022-CATCU-002310,598,301,37.827126,-120.120593,5510.9,5.511,1
FISHER_2022-CAINF-000969,810,425,36.232261,-118.245985,21737.5,21.738,1
FISHER_2022-CASHF-000566,201,199,41.022361,-122.399818,12600.9,12.601,1
FISH_2022-CABDF-011532,1064,508,34.154998,-116.823273,6632.7,6.633,1
FISH_2022-CAKNF-006310,99,169,41.822295,-123.075137,30356.8,30.357,1
FISH_CREEK_2022-CABDF-014175,1071,516,34.107496,-116.724301,9387.3,9.387,1
FIVE_2022-CAANF-002981,984,350,34.560748,-118.67869,4743.2,4.743,1
FLAT_2022-CALPF-000341,863,220,35.34791,-120.353332,4977.8,4.978,1
FLAT_2022-CASHF-000552,213,126,40.738963,-123.206841,9028.0,9.028,1
FLAT__2022-CASQF-002038,875,386,35.586597,-118.527972,13638.3,13.638,1
FLOWER_2022-CAMDF-000939,229,379,41.197619,-120.219378,28953.1,28.953,1
